Printing the average test results after 10 repeats:

tree   n    test      h1     h2     h3    it1   st1a   st1b    dt1   st2a   st2b    it2   st3a   st3b    dt2  total
BST: 800000:  F:      49     45     48    411    433    950    317    236   1038    329    569   1230    647   6165
RBT: 900000:  A:      36     25     25    178    312    786     63    135    579    327    322    729    678   4113
AVL: 900000:  A:      19     19     21    123    289    625     64    136    582    318    331    726    653   3850
AA:  900000:  A:      29     27     28    192    310    715    216    149    695    421    365    883   1269   5220
RBT: 900000:  B:      34     22     23    259    406   1022    346    135    587    334    336    716    672   4816
AVL: 900000:  B:      22     21     22    208    324    738    331    143    638    329    341    780    669   4505
AA:  900000:  B:      28     25     27    299    350    899    688    161    749    438    397    936   1297   6218
BST: 900000:  B:    2183   1124   1126    332    818   1692    473    343   1447    435    785   1661    847   8836
RBT: 900000:  C:      23     22     23    545    303    679    141    154    685    378    358    835    745   4828
AVL: 900000:  C:      22     21     23    528    343    786    140    181    819    386    413    875    715   5191
AA:  900000:  C:      26     25     26    707    354    871    247    149    722    448    374    877   1306   6059
BST: 900000:  C:      48     45     48    487    522   1135    144    287   1264    394    689   1447    792   7164
RBT: 900000:  D:      36     20     22    185    340    833    320    141    598    328    362    745    663   4518
AVL: 900000:  D:      19     19     21    123    291    625    301    131    598    322    324    713    649   4081
AA:  900000:  D:      29     25     27    176    302    701    638    150    734    423    388    916   1317   5750
RBT: 900000:  E:      34     24     25    264    414   1042     87    151    651    348    364    793    687   4806
AVL: 900000:  E:      22     21     23    211    336    786     90    150    683    344    360    825    688   4476
AA:  900000:  E:      29     26     27    301    362    952    222    164    769    437    391    934   1365   5900
BST: 900000:  E:    2409   1223   1225    348    857   1689    128    345   1462    447    808   1671    884   8644
RBT: 900000:  F:      23     22     23    575    362    782    405    177    746    379    382    837    761   5411
AVL: 900000:  F:      22     21     22    528    325    776    381    162    754    378    414    886    741   5350
AA:  900000:  F:      27     25     26    734    369    910    752    157    781    453    374    897   1345   6777
BST: 900000:  F:      48     45     48    490    507   1115    372    285   1259    390    682   1428    753   7284
